sku,name,status,left_price,right_price,currency,delta,delta_percent,left_rows,right_rows
CASE-01,Demo etichette Maiuscole,removed,6.00,,EUR,,,17,
OFFICE-100,Demo risma carta Aurora,increased,5.00,5.50,EUR,0.50,10.00,2,2
OFFICE-101,Demo quaderno Lino,increased,10.00,12.00,EUR,2.00,20.00,3,3
OFFICE-102,Demo organizer Prisma,increased,20.00,21.00,EUR,1.00,5.00,4,4
OFFICE-103,Demo penne Tinta,decreased,8.00,6.00,EUR,-2.00,-25.00,5,5
OFFICE-104,Demo lampada Alba,decreased,50.00,45.00,EUR,-5.00,-10.00,6,6
OFFICE-105,Demo sedia Nuvola,decreased,100.00,80.00,EUR,-20.00,-20.00,7,7
OFFICE-106,Demo cartelline Arco,unchanged,12.00,12.00,EUR,0.00,0.00,8,8
OFFICE-107,Demo gomma Neve,unchanged,2.50,2.50,EUR,0.00,0.00,9,9
OFFICE-108,Demo campione Blocchetto,increased,0.00,3.00,EUR,3.00,,10,10
OFFICE-110,Demo righello Linea,removed,4.00,,EUR,,,11,
OFFICE-111,Demo portapenne Nido,removed,7.00,,EUR,,,12,
OFFICE-112,Demo raccoglitore Doppio,excluded,,17.00,EUR,,,"13, 14",13
OFFICE-113,Demo cucitrice Sospesa,excluded,,11.00,EUR,,,15,14
OFFICE-114,Demo tappetino Onda,excluded,18.00,20.00,EUR / USD,,,16,15
OFFICE-120,Demo forbici Taglio,new,,9.00,EUR,,,,11
OFFICE-121,Demo calendario Giorno,new,,14.00,EUR,,,,12
case-01,Demo etichette Minuscole,new,,6.50,EUR,,,,16
