sku;name;price;currency
OFFICE-100;Demo risma carta Aurora;5.00;EUR
OFFICE-101;Demo quaderno Lino;10.00;EUR
OFFICE-102;Demo organizer Prisma;20.00;EUR
OFFICE-103;Demo penne Tinta;8.00;EUR
OFFICE-104;Demo lampada Alba;50.00;EUR
OFFICE-105;Demo sedia Nuvola;100.00;EUR
OFFICE-106;Demo cartelline Arco;12.00;EUR
OFFICE-107;Demo gomma Neve;2.50;EUR
OFFICE-108;Demo campione Blocchetto;0.00;EUR
OFFICE-110;Demo righello Linea;4.00;EUR
OFFICE-111;Demo portapenne Nido;7.00;EUR
OFFICE-112;Demo raccoglitore Doppio;15.00;EUR
OFFICE-112;Demo raccoglitore Doppio bis;16.00;EUR
OFFICE-113;Demo cucitrice Sospesa;;EUR
OFFICE-114;Demo tappetino Onda;18.00;EUR
CASE-01;Demo etichette Maiuscole;6.00;EUR
