sku;name;price;currency
OFFICE-100;Demo risma carta Aurora;5.50;EUR
OFFICE-101;Demo quaderno Lino;12.00;EUR
OFFICE-102;Demo organizer Prisma;21.00;EUR
OFFICE-103;Demo penne Tinta;6.00;EUR
OFFICE-104;Demo lampada Alba;45.00;EUR
OFFICE-105;Demo sedia Nuvola;80.00;EUR
OFFICE-106;Demo cartelline Arco;12.00;EUR
OFFICE-107;Demo gomma Neve;2.50;EUR
OFFICE-108;Demo campione Blocchetto;3.00;EUR
OFFICE-120;Demo forbici Taglio;9.00;EUR
OFFICE-121;Demo calendario Giorno;14.00;EUR
OFFICE-112;Demo raccoglitore Doppio;17.00;EUR
OFFICE-113;Demo cucitrice Sospesa;11.00;EUR
OFFICE-114;Demo tappetino Onda;20.00;USD
case-01;Demo etichette Minuscole;6.50;EUR
